Global Iteration: 0, Training MSE: 0.8852057241580704, Testing MSE: 6.007601737976074
Global Iteration: 1, Training MSE: 0.623758682202209, Testing MSE: 0.6529117226600647
Global Iteration: 2, Training MSE: 0.5932263963263144, Testing MSE: 0.6025012135505676
Global Iteration: 3, Training MSE: 0.5769458603791213, Testing MSE: 0.5833109617233276
Global Iteration: 4, Training MSE: 0.5657392702319406, Testing MSE: 0.5697903037071228
Global Iteration: 5, Training MSE: 0.5575485268099742, Testing MSE: 0.5604891180992126
Global Iteration: 6, Training MSE: 0.5516085686162115, Testing MSE: 0.5538052320480347
Global Iteration: 7, Training MSE: 0.5471783967180687, Testing MSE: 0.5486243367195129
Global Iteration: 8, Training MSE: 0.5434107015756044, Testing MSE: 0.5449997186660767
Global Iteration: 9, Training MSE: 0.5408527151427486, Testing MSE: 0.5420694351196289
Global Iteration: 10, Training MSE: 0.5388326360759409, Testing MSE: 0.540052592754364
Global Iteration: 11, Training MSE: 0.5372893053022298, Testing MSE: 0.5384632349014282
Global Iteration: 12, Training MSE: 0.5355371548878876, Testing MSE: 0.537228524684906
Global Iteration: 13, Training MSE: 0.534365352835845, Testing MSE: 0.535373330116272
Global Iteration: 14, Training MSE: 0.5333456233651799, Testing MSE: 0.5337616801261902
Global Iteration: 15, Training MSE: 0.532641853121194, Testing MSE: 0.533659815788269
Global Iteration: 16, Training MSE: 0.532074067572301, Testing MSE: 0.5325712561607361
Global Iteration: 17, Training MSE: 0.5312129090116783, Testing MSE: 0.531665563583374
Global Iteration: 18, Training MSE: 0.5307651906528256, Testing MSE: 0.5308727025985718
Global Iteration: 19, Training MSE: 0.5303763401948592, Testing MSE: 0.5304834842681885
Global Iteration: 20, Training MSE: 0.5298567676070062, Testing MSE: 0.5299102067947388
Global Iteration: 21, Training MSE: 0.5293281688608906, Testing MSE: 0.5302287340164185
Global Iteration: 22, Training MSE: 0.5292436272921888, Testing MSE: 0.5292039513587952
Global Iteration: 23, Training MSE: 0.5287394802509383, Testing MSE: 0.530005693435669
Global Iteration: 24, Training MSE: 0.528602575595406, Testing MSE: 0.528974711894989
Global Iteration: 25, Training MSE: 0.5283934517001565, Testing MSE: 0.5285601615905762
Global Iteration: 26, Training MSE: 0.5281587303192777, Testing MSE: 0.5284450054168701
Global Iteration: 27, Training MSE: 0.5280616828494452, Testing MSE: 0.5286217331886292
Global Iteration: 28, Training MSE: 0.527461577934975, Testing MSE: 0.5285143852233887
Global Iteration: 29, Training MSE: 0.5276573940095577, Testing MSE: 0.5277191996574402
Global Iteration: 30, Training MSE: 0.5275039893321017, Testing MSE: 0.5285018682479858
Global Iteration: 31, Training MSE: 0.527208414775404, Testing MSE: 0.527167797088623
Global Iteration: 32, Training MSE: 0.5268453803252089, Testing MSE: 0.5276564359664917
Global Iteration: 33, Training MSE: 0.5269195198335431, Testing MSE: 0.5312151908874512
Global Iteration: 34, Training MSE: 0.5265799505128103, Testing MSE: 0.5267190337181091
Global Iteration: 35, Training MSE: 0.5261492067947983, Testing MSE: 0.5276016592979431
Global Iteration: 36, Training MSE: 0.5263975378803231, Testing MSE: 0.5266367197036743
Global Iteration: 37, Training MSE: 0.5261039025573568, Testing MSE: 0.5275883078575134
Global Iteration: 38, Training MSE: 0.5260466498068788, Testing MSE: 0.5267729759216309
Global Iteration: 39, Training MSE: 0.5262135872448032, Testing MSE: 0.528478741645813
Global Iteration: 40, Training MSE: 0.5257312574169852, Testing MSE: 0.5257662534713745
