Global Iteration: 0, Training MSE: 0.7677708081156014, Testing MSE: 5.867967128753662
Global Iteration: 1, Training MSE: 0.5752151350801189, Testing MSE: 0.6024868488311768
Global Iteration: 2, Training MSE: 0.554112399208049, Testing MSE: 0.5639577507972717
Global Iteration: 3, Training MSE: 0.5432313440119227, Testing MSE: 0.5597977638244629
Global Iteration: 4, Training MSE: 0.5374275710930427, Testing MSE: 0.5534711480140686
Global Iteration: 5, Training MSE: 0.5341368144253891, Testing MSE: 0.5459211468696594
Global Iteration: 6, Training MSE: 0.5300927742694814, Testing MSE: 0.5450588464736938
Global Iteration: 7, Training MSE: 0.5293464472641547, Testing MSE: 0.5472185611724854
Global Iteration: 8, Training MSE: 0.5276798104246458, Testing MSE: 0.5459913611412048
Global Iteration: 9, Training MSE: 0.5261598762497306, Testing MSE: 0.5578559637069702
Global Iteration: 10, Training MSE: 0.5259821357205511, Testing MSE: 0.5461349487304688
Global Iteration: 11, Training MSE: 0.5261630699907741, Testing MSE: 0.5461599826812744
Global Iteration: 12, Training MSE: 0.5257948278511565, Testing MSE: 0.5462105870246887
Global Iteration: 13, Training MSE: 0.5266061246395111, Testing MSE: 0.5507082343101501
Global Iteration: 14, Training MSE: 0.5266790080443025, Testing MSE: 0.557898998260498
Global Iteration: 15, Training MSE: 0.5256514255329967, Testing MSE: 0.551844596862793
Global Iteration: 16, Training MSE: 0.5259461454550425, Testing MSE: 0.5551607608795166
Global Iteration: 17, Training MSE: 0.5259057647734879, Testing MSE: 0.5589855313301086
Global Iteration: 18, Training MSE: 0.5274724529062708, Testing MSE: 0.5655725002288818
Global Iteration: 19, Training MSE: 0.5273549368232489, Testing MSE: 0.5625154972076416
Global Iteration: 20, Training MSE: 0.5264451115454236, Testing MSE: 0.566249668598175
Global Iteration: 21, Training MSE: 0.5264128798122207, Testing MSE: 0.5581319332122803
Global Iteration: 22, Training MSE: 0.5270292348290483, Testing MSE: 0.5657328367233276
Global Iteration: 23, Training MSE: 0.525776998649041, Testing MSE: 0.5568431615829468
Global Iteration: 24, Training MSE: 0.5268233849232395, Testing MSE: 0.562317430973053
Global Iteration: 25, Training MSE: 0.5265640809138616, Testing MSE: 0.5640035271644592
Global Iteration: 26, Training MSE: 0.526430367740492, Testing MSE: 0.5632829666137695
Global Iteration: 27, Training MSE: 0.5261387402936817, Testing MSE: 0.5605356097221375
Global Iteration: 28, Training MSE: 0.5273553633814057, Testing MSE: 0.5602361559867859
Global Iteration: 29, Training MSE: 0.5271060222014785, Testing MSE: 0.5652140378952026
Global Iteration: 30, Training MSE: 0.5267569483444094, Testing MSE: 0.5587108731269836
Global Iteration: 31, Training MSE: 0.526125437853237, Testing MSE: 0.5679230690002441
Global Iteration: 32, Training MSE: 0.5266018941750129, Testing MSE: 0.5620555877685547
Global Iteration: 33, Training MSE: 0.5261608168234428, Testing MSE: 0.5490270853042603
Global Iteration: 34, Training MSE: 0.5270005198692282, Testing MSE: 0.5682158470153809
Global Iteration: 35, Training MSE: 0.5258092638850214, Testing MSE: 0.560153603553772
Global Iteration: 36, Training MSE: 0.5261678990224997, Testing MSE: 0.5662499070167542
Global Iteration: 37, Training MSE: 0.5257268480956555, Testing MSE: 0.5591745972633362
Global Iteration: 38, Training MSE: 0.5263838625823459, Testing MSE: 0.5630034804344177
Global Iteration: 39, Training MSE: 0.5257876847187676, Testing MSE: 0.5548422336578369
Global Iteration: 40, Training MSE: 0.5261020953953266, Testing MSE: 0.574023425579071
