Global Iteration: 0, Training MSE: 0.8547841832423819, Testing MSE: 5.829862594604492
Global Iteration: 1, Training MSE: 0.5755518937722232, Testing MSE: 0.6041778326034546
Global Iteration: 2, Training MSE: 0.5444226215092035, Testing MSE: 0.5593243837356567
Global Iteration: 3, Training MSE: 0.5262626113799901, Testing MSE: 0.5376383066177368
Global Iteration: 4, Training MSE: 0.5144078673269504, Testing MSE: 0.5300158858299255
Global Iteration: 5, Training MSE: 0.5051629457718289, Testing MSE: 0.5329684019088745
Global Iteration: 6, Training MSE: 0.49970233564575517, Testing MSE: 0.5335610508918762
Global Iteration: 7, Training MSE: 0.4943658149395233, Testing MSE: 0.5332968235015869
Global Iteration: 8, Training MSE: 0.49140449191133173, Testing MSE: 0.5401049852371216
Global Iteration: 9, Training MSE: 0.4888038582908802, Testing MSE: 0.529872477054596
Global Iteration: 10, Training MSE: 0.48703151026215297, Testing MSE: 0.5533300042152405
Global Iteration: 11, Training MSE: 0.48554335085627354, Testing MSE: 0.5606867671012878
Global Iteration: 12, Training MSE: 0.4847644040217767, Testing MSE: 0.5680683255195618
Global Iteration: 13, Training MSE: 0.48343811136407727, Testing MSE: 0.5664246678352356
Global Iteration: 14, Training MSE: 0.48336700283181966, Testing MSE: 0.5606653690338135
Global Iteration: 15, Training MSE: 0.48222188357359325, Testing MSE: 0.5769558548927307
Global Iteration: 16, Training MSE: 0.48236396253491065, Testing MSE: 0.5765133500099182
Global Iteration: 17, Training MSE: 0.4819889051409869, Testing MSE: 0.5747174620628357
Global Iteration: 18, Training MSE: 0.4821551178319332, Testing MSE: 0.5686370730400085
Global Iteration: 19, Training MSE: 0.4819739916576789, Testing MSE: 0.5772059559822083
Global Iteration: 20, Training MSE: 0.4814896311706458, Testing MSE: 0.5747575759887695
Global Iteration: 21, Training MSE: 0.4813591869404682, Testing MSE: 0.5917003750801086
Global Iteration: 22, Training MSE: 0.48183853461956366, Testing MSE: 0.5813984274864197
Global Iteration: 23, Training MSE: 0.48095635299881306, Testing MSE: 0.5995405912399292
Global Iteration: 24, Training MSE: 0.481289794563483, Testing MSE: 0.5915830135345459
Global Iteration: 25, Training MSE: 0.481502455778611, Testing MSE: 0.5903139114379883
Global Iteration: 26, Training MSE: 0.48060849490456087, Testing MSE: 0.5932168364524841
Global Iteration: 27, Training MSE: 0.4816839604423597, Testing MSE: 0.599520742893219
Global Iteration: 28, Training MSE: 0.48101248725866663, Testing MSE: 0.6013495922088623
Global Iteration: 29, Training MSE: 0.4813118040561676, Testing MSE: 0.5935602188110352
Global Iteration: 30, Training MSE: 0.48122416111903316, Testing MSE: 0.6064119935035706
Global Iteration: 31, Training MSE: 0.48084092136376955, Testing MSE: 0.590583860874176
Global Iteration: 32, Training MSE: 0.4811018117536337, Testing MSE: 0.6012870669364929
Global Iteration: 33, Training MSE: 0.48113130980577223, Testing MSE: 0.6295557618141174
Global Iteration: 34, Training MSE: 0.48164048313330377, Testing MSE: 0.591107189655304
Global Iteration: 35, Training MSE: 0.480549644621519, Testing MSE: 0.6056450009346008
Global Iteration: 36, Training MSE: 0.48133449691992547, Testing MSE: 0.5949482917785645
Global Iteration: 37, Training MSE: 0.4803111447164645, Testing MSE: 0.607866644859314
Global Iteration: 38, Training MSE: 0.4797602979227519, Testing MSE: 0.6009407639503479
Global Iteration: 39, Training MSE: 0.480592461866446, Testing MSE: 0.6171718239784241
Global Iteration: 40, Training MSE: 0.48048461199953, Testing MSE: 0.5831502676010132
